song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
Sweater Weather,The Neighbourhood,,,I Love You.,2013-04-19,0cQVqPuHQP4KEwc7ZUQmj6,669092160,77SW9BnxLY8rJ0RciFqkHh
Just Wanna Rock,Lil Uzi Vert,melodic rap,Hip Hop,Pink Tape,2023-06-30,4Ls53fBNVfaXTROBi6X8Hw,297078665,4O15NlyKLIASxsJ0PrXPfz
SNAP,Rosa Linn,,,SNAP PACK,2022-07-15,6zJejIfVYLgjud3lTk4DLB,337265058,46xBNx0j6cwY6sD9LgMTm1
Evoque Prata,"MC MENOR HR, MC MENOR SG, DJ ESCOBAR","funk, funk carioca, funk de bh, brazilian funk","Hip Hop, R&B, R&b",Evoque Prata,2022-09-09,1597vvneWf0zoQrg2D8yH6,25741127,"33yjk1kQbu7otNngO5pQb8, 3hXocXy7cs7SZ1JLZUgKBp, 65tpb4BwAnD3HOUs8MC6TB"
Feliz Cumpleaños Ferxxo,Feid,"reggaeton, urbano latino",Latin,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,2CeKVsFFXG4QzA415QygGb,423827308,2LRoIwlKmHjgvigdNGBHNo
About Damn Time,Lizzo,,,Special,2022-07-15,6HMtHNpW6YPi1hrw9tgF8P,78108519,56oDRnqbIiwx4mymNEv7dS
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez","sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró","Country, Latin",Eu Gosto Assim (Ao Vivo),2022-09-16,4ASA1PZyWGbuc4d9N8OAcF,34153065,"1X6ORK7IekgmyjV6IFPszP, 0BHm7qbh3ENxvXzkQAG7MP"
Moscow Mule,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",Latin,Un Verano Sin Ti,2022-05-06,6Xom58OOXk2SoU711L2IXO,88781414,4q3ewBCX7sLwd24euuV69X
Gatita,Bellakath,"reggaeton mexa, reggaeton, neoperreo","Electronic, Latin",Gatita,2022-10-05,4ilZV1WNjL7IxwE81OnaRY,28388104,4yjm4SvYqC5FFuLbB6TyHr
Bones,Imagine Dragons,,,Mercury - Acts 1 & 2,2022-07-01,54ipXppHLA8U4yqpOFTUhr,528242988,53XhwfbYqKCa1cC15pYq2q
Starboy,"The Weeknd, Daft Punk","french house, electronic, electro","Hip Hop, Electronic",Starboy,2016-11-25,7MXVkk9YMctZqd1Srtv4MB,798368292,"1Xyo4u8uXC1ZmMpatF05PJ, 4tZwfgrHOc3mvqYlEYSvVi"
Bebe Dame,"Fuerza Regida, Grupo Frontera","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, electro corridos, sad sierreño, cumbia norteña, norteño, grupera, tejano",Latin,Sigan Hablando,2022-12-28,0IKeDy5bT9G0bA7ZixRT4A,344889477,"0ys2OFYzWYB5hRDLCsBqxt, 6XkjpgcEsYab502Vr1bBeW"
Que Vuelvas,"Carin Leon, Grupo Frontera","banda, norteño, sierreño, corrido, grupera, ranchera, sad sierreño, música mexicana, cumbia norteña, corridos tumbados, corridos bélicos, tejano",Latin,Que Vuelvas,2022-12-09,6Um358vY92UBv5DloTRX9L,391361671,"66ihevNkSYNzRAl44dx6jJ, 6XkjpgcEsYab502Vr1bBeW"
Nobody Gets Me,SZA,r&b,R&B,SOS,2022-12-09,5Y35SjAfXjjG0sFQ3KOxmm,116311316,7tYKF4w9nC0nq9CsPZTHyP
Glimpse of Us,Joji,,,SMITHEREENS,2022-11-04,4ewazQLXFTDC8XvCbhvtXs,226314312,3MZsBdqDrRTJihTHQrO6Dq
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown","rap, r&b","R&B, Hip Hop",HEROES & VILLAINS,2022-12-02,0vjeOZ3Ft5jvAi9SBFJm1j,309466165,"0iEtIxbK0KxaSlF7G42ZOp, 1RyvyyTE3xzB2ZywiAwp0i, 7bXgB6jMjp9ATFy66eO08Z"
Monotonía,"Shakira, Ozuna","latin pop, latin, reggaeton, trap latino, urbano latino","Latin, Pop",Monotonía,2022-10-19,6G12ZafqofSq7YtrMqUm76,124485915,"0EmeFodog0BfCgMzAIvKQp, 1i8SpTcr7yvPOmcqrbnVXY"
PROVENZA,KAROL G,"reggaeton, latin, urbano latino",Latin,MAÑANA SERÁ BONITO,2023-02-24,3HqcNJdZ2seoGxhn0wVNDK,220086534,790FomKkXshlbRYZFtlgla
Tubarão Te Amo,"Dj LK da Escócia, Tchakabum, MC Ryan SP, mc jhenny, Mc RF","funk carioca, funk, brazilian funk, axé, pagode baiano, funk consciente, trap funk, brazilian trap, brega funk","Hip Hop, Pop, R&B, Latin, Electronic",Tubarão Te Amo,2022-09-28,4UldILPVpnZO69ffK4B9aA,4238044,"6WIjKbyqeO9MkfNMFJsF50, 7iJl63aJyNd8C6NZlMv6kp, 75i9GaW2MJUgt4BkdUnuUY, 6Ka3TKKRqhWwbmuxjhrmo6, 7rnLNmWx3ibYo5uQcghVgQ"
Pepas,Farruko,"reggaeton, trap latino, latin",Latin,La 167,2021-10-01,2B4GHvToeLTOBB4QLzW3Ni,4243737,329e4yvIujISKGKz1BZZbO
Roça Em Mim,"Zé Felipe, Ana Castela, Luan Pereira","piseiro, sertanejo, arrocha, agronejo, forró, sertanejo universitário","Country, Latin",Roça Em Mim,2022-11-17,2hkwwmmLC90T8BQ7t3xufq,8613256,"7cmuxPnXRJxwuYDHfbD8Eu, 2CKOmarVWvWqkNWUatHCex, 5kVgcCdPbeUwxBqWxi2Ktl"
Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,"Guilherme & Benuto, Hugo & Guilherme","sertanejo, sertanejo universitário, agronejo, arrocha, piseiro","Country, Latin",Haja Colírio (feat. Hugo & Guilherme) [Ao Vivo],2022-06-23,1ELsaYdj2NlxLvkx9g24xZ,7351218,"6m6e7D2TnV0aYMllFFwMxu, 1LIuN7ov1IBQDdLsU83ojl"
Until I Found You,Stephen Sanchez,,,Easy On My Eyes,2022-08-19,6VhuP99TE6gYNQRJIlAWFD,230297689,5XKFrudbV4IiuE5WuTPRmT
