spotify_track_id,song_name,artist_names,artist_ids,yearly_streams,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
6Bcy1jJFcIAuAzJMtfpImi,Ya Te Olvide,Natanael Cano,0elWFr7TW8piilVRYJUe4P,34240123,Latin,"corridos tumbados, corrido, corridos bélicos, sad sierreño, electro corridos, sierreño, música mexicana, banda",Ya Te Olvide,2024-05-15,WEA Latina,2024-05-15,day,single
5zCnGtCl5Ac5zlFHXaZmhy,Sajni (From  Laapataa Ladies ),"Ram Sampath, Arijit Singh, Prashant Pandey","3PpjqSKBer3obW6lDflOBx, 4YRxDV8wJFPHPTeXepOstw, 7vCsTTACb2iT4fvBMnwp5w",80293026,"Pop, Hip Hop","bollywood, hindi pop, desi, bangla pop",Sajni (From  Laapataa Ladies ),2024-02-12,T-Series,2024-02-12,day,single
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,593767090,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,592224410,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
1CsMKhwEmNnmvHUuO5nryA,SKINNY,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,81820465,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,1744084939,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,675287949,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
6fPan2saHdFaIHuTSatORv,L’AMOUR DE MA VIE,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,157981879,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
6TGd66r0nlPaYm3KIoI7ET,THE GREATEST,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,85921052,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
2prqm9sPLj10B4Wg0wE5x9,BLUE,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,159436202,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
1LLUoftvmTjVNBHZoQyveF,THE DINER,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,72992335,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
7DpUoxGSdlDHfqCYj0otzU,BITTERSUITE,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,56712973,,,HIT ME HARD AND SOFT,2024-05-17,Darkroom/Interscope Records,2024-05-17,day,album
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,718COspgdWOnwOFpJHRZHS,75245663,Country,country,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,Atlantic Records,2024-05-16,day,single
6BpZpCM8d8FJnVnr1IbnFL,GATITAS SANDUNGUERAS - VOL.1,"Alvaro Diaz, Feid","5J7rXWjtn5HzUkJ4Jet8Fr, 2LRoIwlKmHjgvigdNGBHNo",46479516,Latin,"reggaeton, urbano latino",SAYONARA,2024-05-17,"UMG Recordings, Inc./Universal Music Latino",2024-05-17,day,album
7IFsTX5H1sWcEl8joV0IdD,THE BOX MEDLEY FUNK 2,"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia","7gHzR22tDNSWGS4HkvvPgw, 1SZXYhJz4sqEss888VmWLP, 5Dz2FizMLqV0Cr3c8uhEcF, 6aoGgTKGqtsjj48ymcNs4Z, 1JJq541frMPfUIQiUoVrnp, 1b8S7EPzdckRyIh0uSbOMI",15908651,"Hip Hop, Pop, R&B, Latin, R&b, Electronic","brazilian trap, trap funk, funk, trap, funk consciente, brazilian funk, funk de bh, brega funk",THE BOX MEDLEY FUNK 2,2024-04-18,Sony Music Entertainment,2024-04-18,day,single
2374M0fQpWi3dLnB54qaLX,Africa,['TOTO'],['0PFtn5NtBbbUNbU9EAmIWF'],76006188,Rock,soft rock,Toto IV,1982-04-08,Columbia,1982-04-08,day,album
2uIX8YMNjGMD7441kqyyNU,ocean eyes,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],35917714,,,Ocean Eyes,2016-11-18,Darkroom,2016-11-18,day,single
43zdsphuZLzwA9k4DJhU0I,when the party's over,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],6387688,,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,Darkroom/Interscope Records,2019-03-29,day,album
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,7427123,,,She's So Unusual,1983-10-14,Portrait,1983-10-14,day,album
6a9Z1jUms915w4O7N1PxjY,Santa,"Rvssian, Rauw Alejandro, Ayra Starr","1fctva4kpRbg2k3v7kwRuS, 1mcTU81TzQhprhouKaTkpq, 3ZpEKRjHaHANcpk10u6Ntq",425857942,"R&B, Traditional music, Pop, Latin","trap latino, reggaeton, urbano latino, latin, afrobeats, afrobeat, afropop, afropiano, afro soul",Santa,2024-04-03,Sony Music Latin,2024-04-03,day,single
6RjSXi9cPGroetXeNsWFGL,MTG QUEM NÃO QUER SOU EU,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15","0xj9MJx9r0wO2o4aqdergP, 0i1s9WcIu0PrUvHzALgofo, 6mKwmTMzDrye9elc8JWiw3, 3Nipsl6GVwwGyeAk0J29C6",68716906,"Hip Hop, R&B, R&b, Latin","funk, brazilian funk, mpb, samba, pagode, funk de bh",MTG QUEM NÃO QUER SOU EU,2024-05-10,DJ TOPO,2024-05-10,day,single
0ac1yxdTLorGFqT4R0N0f4,Danza Kuduro - Cover,MUSIC LAB JPN,61ifFEOS4km183fkC64e8I,1352667,,,CLUB DE YOKUKIKU YOUGAKU MEDLEY,2024-05-21,MUSIC LAB JPN,2024-05-21,day,album
3U4AkMeGdf6lj5m6s6JymU,love hotel,leftovermax,6V5fHkuCfZknzDBr5Wm7Rj,2041344,,,love hotel,2024-05-03,16662749 Records DK,2024-05-03,day,single
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,287231255,Country,"country, red dirt",Pink Skies,2024-05-24,Warner Records,2024-05-24,day,single
02H58MSfVESkKyx4diDgu7,LOST!,RM,2auC28zjQyVTsiZKNgPRGs,13610233,"Pop, Hip Hop","k-pop, k-rap","Right Place, Wrong Person",2024-05-24,BIGHIT MUSIC,2024-05-24,day,album
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby","5H4yInM5zmHqpKIoMNAx4r, 5f7VJjfbwm532GiveGC0ZK",276209555,"Hip Hop, Electronic, Pop","uk drill, drill, grime, ",BAND4BAND (feat. Lil Baby),2024-05-23,Columbia,2024-05-23,day,single
5Uptvz6j1sjDKxidAcnH2L,SI NO ES CONTIGO,Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,328862532,"Latin, Hip Hop","reggaeton chileno, chilean trap, chilean mambo, reggaeton",SI NO ES CONTIGO,2024-05-23,Sonar LLC.,2024-05-23,day,single
62HKW77nt6tudsIHXT2A0M,Come back to me,RM,2auC28zjQyVTsiZKNgPRGs,3098894,"Pop, Hip Hop","k-pop, k-rap","Right Place, Wrong Person",2024-05-24,BIGHIT MUSIC,2024-05-24,day,album
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,6HvZYsbFfjnjFrWF950C9d,38676994,Pop,k-pop,How Sweet,2024-05-24,ADOR,2024-05-24,day,single
4xF4ZBGPZKxECeDFrqSAG4,snowfall,"Øneheart, reidenshi","0dgJbQ0bKPyUXco8hEXN7X, 6SdlxyPsQ3B0yYncFmDULP",1671440,Electronic,dark ambient,snowfall,2022-01-14,Øneheart & reidenshi,2022-01-14,day,single
