song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
Everybody Dies In Their Nightmares,XXXTENTACION,emo rap,Hip Hop,17,2017-08-25,3GVkPk8mqxz0itaAriG1L7,Bad Vibes Forever / EMPIRE,USUYG1156894,2642909,15UsOTVnJzReFVN1VCnxy4
Do I Wanna Know?,Arctic Monkeys,"indie, garage rock",Rock,AM,2013-01-01,3rq5w4bQGigXOfdN30ATJt,EMI Recorded Music Australia Pty Ltd,GBCEL1300362,5083951,7Ln80lUS6He07XvHI8qqHH
Dime Cómo Quieres,"Christian Nodal, Ángela Aguilar","banda, ranchera, mariachi, norteño, música mexicana, grupera",Latin,AYAYAY! (Súper Deluxe),2020-11-13,4jcxBTrNvyqMJdMDyyjdYV,Universal Music Mexico,MXUM72006106,11027241,"0XwVARXT135rw8lyw1EeWP, 3abT87tqQ4Q5PA5nw6CYyH"
Eenie Meenie,"Sean Kingston, Justin Bieber",,,Eenie Meenie,2010-03-23,4vVTI94F9uJ8lHNDWKv0i2,Epic/Beluga Heights,USSM11000625,2975684,"6S0dmVVn4udvppDhZIWxCr, 1uNFoZAHBGtllmzznpCI3s"
Mirrors,Justin Timberlake,,,The 20/20 Experience (Deluxe Version),2013-03-15,4rHZZAmHpZrA3iH5zx8frV,RCA Records Label,USRC11300059,4261767,31TPClRtHm23RisEBtV3X7
Dynamite,BTS,k-pop,Pop,BE,2020-11-20,4saklk6nie3yiGePpBwUoc,BIGHIT MUSIC / HYBE,QM7282022872,137493326,3Nrfpe0tUJi4K4DXYWgMUX
Life Goes On,BTS,k-pop,Pop,BE,2020-11-20,249gnXrbfmV8NG6jTEMSwD,BIGHIT MUSIC / HYBE,QMBZ92051791,96521877,3Nrfpe0tUJi4K4DXYWgMUX
Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes, Justin Bieber","pop, ",Pop,Monster,2020-11-20,2Z8yfpFX0ZMavHkcIeHiO1,Shawn Mendes LP4-5 PS/ Island,USUM72018810,51315928,"7n2wHs1TKAczGzO7Dd2rGr, 1uNFoZAHBGtllmzznpCI3s"
Fly To My Room,BTS,k-pop,Pop,BE,2020-11-20,3QH8rQGNFX8VLbCgZ7uPTS,BIGHIT MUSIC / HYBE,QMFME2038752,28887843,3Nrfpe0tUJi4K4DXYWgMUX
Blue & Grey,BTS,k-pop,Pop,BE,2020-11-20,0n2moJpAEWHwaPYYjkzMDl,BIGHIT MUSIC / HYBE,QMFME2038757,30040903,3Nrfpe0tUJi4K4DXYWgMUX
