spotify_track_id,song_name,artist_names,artist_ids,all_time_streams,years_on_chart,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
3oNnzH6hmqIGIhJ1NcHlrh,CORAZÓN VACÍO,Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,170452086,2023,Hip Hop,argentine trap,CORAZÓN VACÍO,2023-06-22,WEA Latina,2023-06-22,day,single
3oRW9ZGPRbLRMneQ5lwflt,Waiting On A Miracle,Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,14765101,2022,,,Encanto (Original Motion Picture Soundtrack),2021-11-19,Walt Disney Records,2021-11-19,day,album
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,10814912,2023,Country,country,One Thing At A Time,2023-03-03,Big Loud Records / Mercury Records / Republic Records,2023-03-03,day,album
3oZZfVvLJuDYc4Vn3A63Fw,Polar Opposites,Drake,3TVXtAsR1Inumwj472S9r4,13251572,2023,Hip Hop,"rap, hip hop",For All The Dogs,2023-10-06,OVO/Republic,2023-10-06,day,album
3obGrchYRmtO5rk4O2ZtLZ,No More Hiding,SZA,7tYKF4w9nC0nq9CsPZTHyP,3807677,2024,R&B,r&b,SOS Deluxe: LANA,2024-12-20,Top Dawg Entertainment/RCA Records,2024-12-20,day,album
3obgSF06ki98lYNLNq5vCB,Wasted (feat. Lil Uzi Vert),"Juice WRLD, Lil Uzi Vert","4MCBfE4596Uoi2O4DtmEMz, 4O15NlyKLIASxsJ0PrXPfz",81305341,2018,Hip Hop,"melodic rap, emo rap",Goodbye & Good Riddance,2018-05-23,Juice WRLD Mixtape / ISR P&D,2018-05-23,day,album
3oh6SCCeLuXhFpEyepla6G,Thotiana,Blueface,3Fl1V19tmjt57oBdxXKAjJ,144487661,2019,,,Famous Cryp,2018-12-18,eOne Music,2018-12-18,day,album
3ojTJaonfkL96iIWa47SU3,Questions,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,32974310,2017,R&B,r&b,Heartbreak on a Full Moon,2017-10-31,RCA Records Label,2017-10-31,day,album
3omvXShuRPM3zbDpWYqf5g,MORE & MORE,TWICE,7n2Ycct7Beij7Dj7meI4X0,1116475,2020,Pop,k-pop,MORE & MORE,2020-06-01,Republic Records - TWICE,2020-06-01,day,album
3onYsG7nB3FwEVHYYWCrIM,No Child Left Behind,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,20754175,2021,Hip Hop,rap,Donda,2021-08-29,Rock The World/IDJ/Kanye LP7,2021-08-29,day,album
3op7HNwLli54MBjFGzIlZO,Louder than bombs,BTS,3Nrfpe0tUJi4K4DXYWgMUX,10545793,2020,Pop,k-pop,MAP OF THE SOUL : 7,2020-02-21,BIGHIT MUSIC / HYBE,2020-02-21,day,album
3orEOtd8CPL8GFlpRpKuoE,Faith,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,19488744,2020,,,After Hours,2020-03-20,Republic Records,2020-03-20,day,album
3oxCefEI6Tc6Z6t20J4IvH,Disrespectful,"21 Savage, Offset, Metro Boomin","1URnnhqYAYcrqrcwql10ft, 4DdkRBBYG6Yk9Ka8tdJ9BW, 0iEtIxbK0KxaSlF7G42ZOp",3574777,2017,,,Without Warning,2017-10-30,"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",2017-10-30,day,album
3p4hRhMcb6ch8OLtATMaLw,Cry,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,61014903,2024,Pop,dream pop,Cry,2019-10-25,Partisan Records,2019-10-25,day,album
3p6aRY0ePa28UM85z9X8iS,Good Intentions (Intro),NAV,7rkW85dBwwrJtlHRDkJDAC,754912,2020,Hip Hop,melodic rap,Good Intentions,2020-05-08,Republic Records,2020-05-08,day,album
3p6eieHX6oEOzJStPtEsLu,Si Te Pudiera Mentir,Calibre 50,4jogXSSvlyMkODGSZ2wc2P,904848,2022,Latin,"banda, corrido, norteño, música mexicana, sierreño, grupera",Simplemente Gracias,2019-08-16,"Andaluz Music, LLC (Catalog)",2019-08-16,day,album
3p6hnejEQYXkiTO1lAzVc0,Euphoria,BTS,3Nrfpe0tUJi4K4DXYWgMUX,3819200,2018,Pop,k-pop,Love Yourself 結 'Answer',2018-08-24,BIGHIT MUSIC / HYBE,2018-08-24,day,compilation
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,216198566,2023,Pop,soft pop,- (Deluxe),2023-05-05,Atlantic Records UK,2023-05-05,day,album
3pCt2wRdBDa2kCisIdHWgF,To the Bone,Pamungkas,7d86ERlvO5UG44j7Va0Y0C,5909677,2021,"Rock, Pop","indonesian indie, indonesian pop",Flying Solo,2019-06-14,Mas Pam Records,2019-06-14,day,album
3pDbPKZHrpHAWcJVMsrNwA,Hukum - Thalaivar Alappara - Tamil (From  Jailer ),"Anirudh Ravichander, Super Subu","4zCH9qm4R2DADamUHMCa6O, 6sXT8Cggm4tmoxhVjaUVs0",9494300,2023,"Hip Hop, Pop","kollywood, tamil pop, tamil dance, tollywood, tamil hip hop, telugu pop",Hukum - Thalaivar Alappara - Tamil (From  Jailer ),2023-07-17,Sun Pictures,2023-07-17,day,single
3pHkh7d0lzM2AldUtz2x37,The Archer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19396190,2019,,,Lover,2019-08-23,Taylor Swift,2019-08-23,day,album
3pI3nzi2Y0Iyj1nATDOeQV,Mourning,Post Malone,246dkjvS1zLTtiykXe5h60,13977408,2023,,,AUSTIN,2023-07-28,Mercury Records/Republic Records,2023-07-28,day,album
3pIigjAWkzwAonXpJ1fmSF,Everybody Hates Me,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,34765653,2018,,,Sick Boy...Everybody Hates Me,2018-03-16,Disruptor Records/Columbia,2018-03-16,day,single
3pJa2fy3VW7Uxrzzz0k1A7,Angeklagt,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,7217633,2020,Hip Hop,german hip hop,Angeklagt,2020-10-22,187 Strassenbande,2020-10-22,day,single
3pQr8EhSzvKN3ZZlaL4Pae,PÓLVORA,"Mora, Yandel","0Q8NcsJwoCbZOHHW63su5S, 0eHQ9o50hj6ZDNBt6Ys1sD",6609482,2023,Latin,"urbano latino, reggaeton, trap latino, latin",ESTRELLA,2023-08-28,Rimas Entertainment LLC,2023-08-28,day,album
3pTScODwk9tggZzmuH6xDY,What's the Move (feat. Lil Uzi Vert),"Young Thug, Lil Uzi Vert","50co4Is1HCEo8bhOyUWKpn, 4O15NlyKLIASxsJ0PrXPfz",2897256,2019,Hip Hop,"rap, melodic rap, trap",So Much Fun,2019-08-16,300 Entertainment/Atl,2019-08-16,day,album
3pUa0ZxdSeaJXm0EIydD3F,"Would've, Could've, Should've",Taylor Swift,06HL4z0CvFAxyc27GXpf02,60021923,2022,,,Midnights (3am Edition),2022-10-21,Taylor Swift,2022-10-21,day,album
3pWcj8hxj3fsb9TDAcMpEl,Somebody,"The Chainsmokers, Drew Love","69GGBxA162lTqCwzJG5jLp, 76yeOnINtQSXyoEHbkYmtY",96713967,2018,,,Sick Boy,2018-04-20,Disruptor Records/Columbia,2018-04-20,day,single
3pXF1nA74528Edde4of9CC,Don't,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,687523,2017,R&B,r&b,T R A P S O U L,2015-10-02,TrapSoul/RCA Records,2015-10-02,day,album
3pZO6GoVPeSYDxxsH6vCdj,Sunset (with J. Cole feat. Young Nudy),"Dreamville, J. Cole, Young Nudy","1iNqsUDUraNWrj00bqssQG, 6l3HvQ5sa6mXTsMTB19rO5, 5yPzzu25VzEk8qrGTLIrE1",2892425,2019,Hip Hop,"rap, ",Revenge Of The Dreamers III,2019-07-05,Dreamville/Interscope Records,2019-07-05,day,album
3pcxxaUxAMSfz2zgetHydD,Insane,Summer Walker,57LYzLEk2LcFghVwuWbcuS,865654,2021,R&B,r&b,Still Over It,2021-11-05,LVRN/Interscope Records,2021-11-05,day,album
3pdQTWpq09XCBosbTtYIiZ,Winter Wonderland - Remastered,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,31179893,"2020,2021,2022,2023",Jazz,christmas,Christmas,2015-09-30,Geffen,2015-09-30,day,compilation
3pf6HWXtEalIWoZcPTFbc6,The Ways (with Swae Lee),"Khalid, Swae Lee","6LuN9FCkKOj5PcnpouEgny, 1zNqQNIdeOUZHb8zbZRFMX",1907247,2018,,,Black Panther The Album Music From And Inspired By,2018-02-09,Universal Music Group,2018-02-09,day,album
3pgKhQdt8MNXUhh9698qmi,Tá na Hora do Jair Já Ir Embora,"Tiago Doidão, Juliano Maderada","6JyfXyzoX303xiXFwhT9Za, 72DK3UxDm7IOR9jCwnZKEz",1479431,2022,,,Tá na Hora do Jair Já Ir Embora,2022-08-26,Maderada Music,2022-08-26,day,single
3pjUyVbFmM96tYhSaKJwTt,Change,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,1130775,2017,Hip Hop,rap,4 Your Eyez Only,2016-12-09,J. Cole P&D,2016-12-09,day,album
3pjvkWO9fqiRRBE1tDLu3S,SIN SEÑAL,"Quevedo, Ovy On The Drums","52iwsT98xCoGgiGntTiR7K, 3m5qlPf2OkihLz3dRYnkPA",4515506,2023,Latin,reggaeton,DONDE QUIERO ESTAR,2023-01-20,Quevedo,2023-01-20,day,album
3pm4XtcsRIFFtH2UErk62R,CANCIÓN CON YANDEL,"Yandel, Bad Bunny","0eHQ9o50hj6ZDNBt6Ys1sD, 4q3ewBCX7sLwd24euuV69X",20686748,2020,Latin,"reggaeton, urbano latino, latin, trap latino",LAS QUE NO IBAN A SALIR,2020-05-10,Rimas Entertainment LLC,2020-05-10,day,album
3pq5dd3Hwg2uJ3d63v9YRx,One Call,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,746167,2019,Hip Hop,melodic rap,Drip or Drown 2,2019-02-22,300 Entertainment,2019-02-22,day,album
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,55124400,2023,,,1989 (Taylor's Version),2023-10-26,Taylor Swift,2023-10-26,day,album
3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,18544015,2017,,,Purpose (Deluxe),2015-11-13,Universal Music Group,2015-11-13,day,album
3q9PVufz68TRvOao25IMNk,MOTTO,NF,6fOMl44jA4Sp5b9PpYCkzz,2914898,2023,Hip Hop,christian hip hop,MOTTO,2023-03-09,NF Real Music II,2023-03-09,day,single
3qC3qmZNDXu62hc8YbhWsy,Dear Boy,Avicii,1vCWHaC5f2uS3yhpwWbIA6,752218,2018,Electronic,edm,True,2013-01-01,Universal Music Group,2013-01-01,day,album
3qCeq0rWK67SoBDgFd2sId,Feliz Navidad,José Feliciano,7K78lVZ8XzkjfRSI7570FF,619662934,"2020,2021,2022,2023,2024","Latin, Jazz","christmas, bolero",My Name Is José Feliciano,2001-00-00,RCA Records Label,2001,year,album
3qHgGyJY4GpXNOK4WL4NSo,Red Eye,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,827954,2020,,,"Still Flexin, Still Steppin",2020-02-21,"Never Broke Again, LLC",2020-02-21,day,album
