artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Camilo,28gNT5KBp7IjEOQoevXf9N,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,1,['1Ol5LmdNDNpFu1oNwfgkux']
Anuel AA,2R21vXR83lH98kGeO99Y66,Lunay,47MpMsUfWtgyIIBEFOr4FE,2,"['0A37XY67wSdGqkGjtfW6aV', '37zdqI4r1gswIzczSBkRon']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Lunay,47MpMsUfWtgyIIBEFOr4FE,2,"['2tGENA8xef0wABdHvyXwv9', '37zdqI4r1gswIzczSBkRon']"
Lunay,47MpMsUfWtgyIIBEFOr4FE,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,1,['4t9a07PAghtQMRAIP9FQ7Z']
Lunay,47MpMsUfWtgyIIBEFOr4FE,Bad Bunny,4q3ewBCX7sLwd24euuV69X,1,['4t9a07PAghtQMRAIP9FQ7Z']
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Bad Bunny,4q3ewBCX7sLwd24euuV69X,2,"['4t9a07PAghtQMRAIP9FQ7Z', '69vlMrzHwATKzupwNcUPyK']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['7BlBVFwvbWvcwNcUarQmjk']
Reik,0vR2qb8m9WHeZ5ByCbimq2,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1,['59s0s39NFWScuHDbHytI14']
Reik,0vR2qb8m9WHeZ5ByCbimq2,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,1,['59s0s39NFWScuHDbHytI14']
Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1,['59s0s39NFWScuHDbHytI14']
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Drake,3TVXtAsR1Inumwj472S9r4,1,['5ry2OE6R2zPQFDO85XkgRb']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,DJ Snake,540vIaP2JwjQb9dm3aArA4,1,['6osaMSJh9NguagEDQcZaKx']
DJ Snake,540vIaP2JwjQb9dm3aArA4,Tyga,5LHRHt1k9lMyONurDHEdrp,1,['6osaMSJh9NguagEDQcZaKx']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Tyga,5LHRHt1k9lMyONurDHEdrp,1,['6osaMSJh9NguagEDQcZaKx']
Stormzy,2SrSdSvpminqmStGELCSNd,Burna Boy,3wcj11K77LjEY1PkEazffa,2,"['49i5Qn3zXsMBPsSOmYAFut', '4QPEwDdOMhY7rNS05mTyMR']"
Stormzy,2SrSdSvpminqmStGELCSNd,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2,"['49i5Qn3zXsMBPsSOmYAFut', '4QPEwDdOMhY7rNS05mTyMR']"
Burna Boy,3wcj11K77LjEY1PkEazffa,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2,"['49i5Qn3zXsMBPsSOmYAFut', '4QPEwDdOMhY7rNS05mTyMR']"
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq,1,['6uJONCdr2rC65BNmCnTBWK']
Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,Sech,77ziqFxp5gaInVrF2lj4ht,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Dalex,0KPX4Ucy9dk82uj4GpKesn,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Feid,2LRoIwlKmHjgvigdNGBHNo,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,Wisin,3E6xrwgnVfYCrCs0ePERDz,1,['5Id5B3dxJZhPcV9GzgYZZe']
Zion,1pgDilWYDWLoOgGjf1iHNu,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,1,['5Id5B3dxJZhPcV9GzgYZZe']
Dalex,0KPX4Ucy9dk82uj4GpKesn,Sech,77ziqFxp5gaInVrF2lj4ht,3,"['0RDgqtvOHLwcI6yz9bjsZV', '1mF6sMUsRU9MisrdB9qWvg', '5Id5B3dxJZhPcV9GzgYZZe']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Sech,77ziqFxp5gaInVrF2lj4ht,3,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe', '7lUdbnz7wsv3C9zzf4WHl9']"
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Sech,77ziqFxp5gaInVrF2lj4ht,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Feid,2LRoIwlKmHjgvigdNGBHNo,Sech,77ziqFxp5gaInVrF2lj4ht,3,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe', '7lUdbnz7wsv3C9zzf4WHl9']"
Wisin,3E6xrwgnVfYCrCs0ePERDz,Sech,77ziqFxp5gaInVrF2lj4ht,1,['5Id5B3dxJZhPcV9GzgYZZe']
Zion,1pgDilWYDWLoOgGjf1iHNu,Sech,77ziqFxp5gaInVrF2lj4ht,1,['5Id5B3dxJZhPcV9GzgYZZe']
Dalex,0KPX4Ucy9dk82uj4GpKesn,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,4,"['0RDgqtvOHLwcI6yz9bjsZV', '1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6', '5Id5B3dxJZhPcV9GzgYZZe']"
Dalex,0KPX4Ucy9dk82uj4GpKesn,Feid,2LRoIwlKmHjgvigdNGBHNo,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Dalex,0KPX4Ucy9dk82uj4GpKesn,Wisin,3E6xrwgnVfYCrCs0ePERDz,1,['5Id5B3dxJZhPcV9GzgYZZe']
Dalex,0KPX4Ucy9dk82uj4GpKesn,Zion,1pgDilWYDWLoOgGjf1iHNu,2,"['1ndyl3wJCFs872XZ3ztPk6', '5Id5B3dxJZhPcV9GzgYZZe']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,5,"['0RDgqtvOHLwcI6yz9bjsZV', '1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6', '4RJz8NfIe09gpKMiRUWKhJ', '5Id5B3dxJZhPcV9GzgYZZe']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Feid,2LRoIwlKmHjgvigdNGBHNo,4,"['0RDgqtvOHLwcI6yz9bjsZV', '4TOmcZvw0gHa7GiXRbcYAW', '5Id5B3dxJZhPcV9GzgYZZe', '7lUdbnz7wsv3C9zzf4WHl9']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Wisin,3E6xrwgnVfYCrCs0ePERDz,1,['5Id5B3dxJZhPcV9GzgYZZe']
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Zion,1pgDilWYDWLoOgGjf1iHNu,2,"['1ndyl3wJCFs872XZ3ztPk6', '5Id5B3dxJZhPcV9GzgYZZe']"
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Feid,2LRoIwlKmHjgvigdNGBHNo,2,"['0RDgqtvOHLwcI6yz9bjsZV', '5Id5B3dxJZhPcV9GzgYZZe']"
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Wisin,3E6xrwgnVfYCrCs0ePERDz,1,['5Id5B3dxJZhPcV9GzgYZZe']
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Zion,1pgDilWYDWLoOgGjf1iHNu,2,"['1ndyl3wJCFs872XZ3ztPk6', '5Id5B3dxJZhPcV9GzgYZZe']"
Feid,2LRoIwlKmHjgvigdNGBHNo,Wisin,3E6xrwgnVfYCrCs0ePERDz,1,['5Id5B3dxJZhPcV9GzgYZZe']
Zion,1pgDilWYDWLoOgGjf1iHNu,Feid,2LRoIwlKmHjgvigdNGBHNo,1,['5Id5B3dxJZhPcV9GzgYZZe']
Zion,1pgDilWYDWLoOgGjf1iHNu,Wisin,3E6xrwgnVfYCrCs0ePERDz,1,['5Id5B3dxJZhPcV9GzgYZZe']
