artist_1,artist_2,count,song_ids
6ix9ine,Nicki Minaj,2,"['2l8nEO0vsTRCRnGqQty6qx', '1oJ8EDr2pv94IvSd6ZmDgo']"
Logic,Ryan Tedder,2,"['6e2PtJYcltVk76nLwxBzRn', '7rKKh8AGVXuNXgLBpTBTFH']"
Bad Bunny,Becky G,2,"['7JNh1cfm0eXjqFVOzKLyau', '6U2NuJILEOEpW2tVCuqKHb']"
Anitta,J Balvin,2,"['3Ga6eKrUFf12ouh9Yw3v2D', '6MNGxu8MprKGkchUchkJsy']"
Lil Baby,Young Thug,2,"['0kCBorRrKZkSztd9m0QI3r', '4T7cJdrTRqOBESPYfvfj2x']"
Post Malone,Swae Lee,2,"['5VuxWXbt7XENQCtE9TzpTv', '0RiRZpuVRbi7oqRdSMwhQY']"
Becky G,NATTI NATASHA,2,"['2ijef6ni2amuunRoKTlgww', '6U2NuJILEOEpW2tVCuqKHb']"
Swae Lee,Travis Scott,2,"['1oUudyBYVGMIC8JXeIsFzq', '6osMzmRHCVETbZMHceLRmh']"
Billie Eilish,Khalid,2,"['0u2P5u6lvoDfwTYjAADbn4', '1NJcg626wLln4pGHpiV7mf']"
Cardi B,Migos,2,"['4wFjTWCunQFKtukqrNijEt', '2qcG0nZ6S3zZV0UrkY5nFo']"
J. Cole,kiLL edward,2,"['3rFF7kSm5qBOOPs6ljFgPp', '6onwlDmIVKE8bBgyBRSuS0']"
Nicky Jam,Ozuna,2,"['3V8UKqhEK5zBkBb6d6ub8i', '6JjPBQfI2Y8nIjnm65X6Pw']"
Darell,Ozuna,2,"['3V8UKqhEK5zBkBb6d6ub8i', '59PYgzOiOjGDzjDT5N5oOX']"
Bad Bunny,Yandel,2,"['3VClLWqNn80Llv0PJOsKgr', '1LszjjoVwDDZcWUQbzeDLG']"
A$AP Rocky,Moby,2,"['1YmF9PvLhIISIANoMLIYGq', '3oHkMCVJyOcjg5FhfLc2Rq']"
Gucci Mane,Quavo,2,"['0TFVOjSvPTjFHkiZZekK5k', '5Ta1sXtO9tXOaUacYm7tH8']"
Gesaffelstein,The Weeknd,2,"['1cKHdTo9u0ZymJdPGSh6nq', '13wNEvWmBsWaWVtiLPRIW5']"
