spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
3T7dNA7O8c3Axj5WyDNcH3,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,christmas,Jazz,Anthology 1956-1980 (Volume 1 & 2),02:05,39283064,2017,Solo
3TKpJrY9q49Mj1JOsM9zGL,Family,"The Chainsmokers,Kygo",tropical house,Electronic,World War Joy,03:14,29693046,2019,Collaboration
3TKpJrY9q49Mj1JOsM9zGL,Family,"The Chainsmokers,Kygo",tropical house,Electronic,World War Joy,03:14,29693046,2020,Collaboration
3TLwAp3uX1nKsVxrDhNPOL,Love Me,Lil Tecca,"melodic rap, rap",Hip Hop,We Love You Tecca,01:57,30504491,2019,Solo
3TYOH7ta0101NYssoH5GlU,MERCEDES CAROTA,"Bad Bunny,YOVNGCHIMI","reggaeton, trap latino, latin, urbano latino, trap",Latin,nadie sabe lo que va a pasar mañana,03:22,46361754,2023,Collaboration
3ThrfRAmijYU098H9q9tAs,Enchule,Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin",Latin,Enchule,03:05,21571990,2020,Solo
3TnhQSRwT3AVMdXw5JPq0x,Nena Maldicion (feat. Lenny Tavarez),"Paulo Londra,Lenny Tavárez","argentine trap, trap latino, reggaeton, urbano latino",Hip Hop,Nena Maldicion (feat. Lenny Tavarez),03:48,35051940,2018,Collaboration
3TzANwXYkLsjIY9CT7prcL,Patrai,"NATTAN,Zé Felipe,O REI DA BATIDINHA","piseiro, forró, arrocha, sertanejo, brega, seresta, agronejo, sertanejo universitário",Country,Patrai,01:53,10540625,2024,Collaboration
3U3hFkMr0Q90pD24EkE3Pr,BMF,SZA,r&b,R&B,SOS Deluxe: LANA,03:00,18728781,2024,Solo
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",R&B,Love In The Future (Expanded Edition),04:29,705120549,2019,Solo
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",R&B,Love In The Future (Expanded Edition),04:29,705120549,2020,Solo
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",R&B,Love In The Future (Expanded Edition),04:29,705120549,2021,Solo
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",R&B,Love In The Future (Expanded Edition),04:29,705120549,2022,Solo
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",R&B,Love In The Future (Expanded Edition),04:29,705120549,2023,Solo
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"soft pop, neo soul",R&B,Love In The Future (Expanded Edition),04:29,705120549,2024,Solo
3UHPGOkUcE4hE7sqBF4Snt,Film out,BTS,k-pop,Pop,Film out,03:34,43782213,2021,Solo
3UYiU57SMiAS5LqolhHJw1,Shameless,Camila Cabello,pop,Pop,Shameless,03:39,29457967,2019,Solo
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,k-pop,Pop,FACE,03:32,1556917832,2023,Solo
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,k-pop,Pop,FACE,03:32,1556917832,2024,Solo
3UmaczJpikHgJFyBTAJVoz,Stan,"Eminem,Dido","rap, hip hop, ",Hip Hop,The Marshall Mathers LP,06:44,47713425,2022,Collaboration
3UoULw70kMsiVXxW0L3A33,pov,Ariana Grande,pop,Pop,Positions,03:21,138032182,2020,Solo
3UoULw70kMsiVXxW0L3A33,pov,Ariana Grande,pop,Pop,Positions,03:21,138032182,2021,Solo
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam","reggaeton, trap latino, urbano latino, latin, dembow",Latin,Te Boté (Remix),06:57,574736720,2018,Collaboration
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam","reggaeton, trap latino, urbano latino, latin, dembow",Latin,Te Boté (Remix),06:57,574736720,2019,Collaboration
3VClLWqNn80Llv0PJOsKgr,Báilame - Remix,"Nacho,Yandel,Bad Bunny,Mambo Kingz,DJ Luian","reggaeton, latin, urbano latino, trap latino",Latin,Báilame (Remix),03:37,216643329,2017,Collaboration
3VClLWqNn80Llv0PJOsKgr,Báilame - Remix,"Nacho,Yandel,Bad Bunny,Mambo Kingz,DJ Luian","reggaeton, latin, urbano latino, trap latino",Latin,Báilame (Remix),03:37,216643329,2018,Collaboration
3VHrwffnUZFb7FidvPV3OA,Kill This Love,BLACKPINK,k-pop,Pop,Kill This Love,03:09,15065892,2019,Solo
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2017,Collaboration
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2018,Collaboration
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2019,Collaboration
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2020,Collaboration
