artist_name,artist_id,genres,num_hits,num_collab_hits
Dj Tk,0mfeoleda752Uj4JbEZDIN,"brazilian funk, electronic, funk, funk carioca, hip hop, r&b, trap funk",1,1
Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,"agronejo, arrocha, brega, country, forró, latin, piseiro, sertanejo, sertanejo universitário",2,2
Sofia Carson,7bp2lSdh12wcA8LyB1srfJ,,1,0
Kordhell,2W6WP4pHQTFlbr2z9S4n54,"drift phonk, electronic, hip hop, phonk",1,0
Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,"classical, musicals",2,1
John Travolta,4hKkEHkaqCsyxNxXEsszVH,"classical, musicals",1,1
Luar La L,4axKuDPr6WKcDCyh8vueTY,"latin, trap latino",1,0
NewJeans,6HvZYsbFfjnjFrWF950C9d,"k-pop, pop",3,0
Mata,0MIG6gMcQTSvFbKvUwK0id,,1,0
Ovy On The Drums,3m5qlPf2OkihLz3dRYnkPA,"latin, reggaeton, urbano latino",2,2
Ghost,1Qp56T7n950O3EGMsSl81D,"hard rock, metal, rock",1,0
Beach Weather,7I3bkknknQkIiatWiupQgD,,1,0
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",1,1
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,"k-pop, pop",8,0
Nina Chuba,2kS9NyuATpYwjeB93h24H5,"german hip hop, german pop, hip hop, pop",1,0
Danna Paola,5xSx2FM8mQnrfgM1QsHniB,,1,0
Armani White,2qAwMsiIjTzlmfAkXKvhVA,,1,0
Maldy,4IndUOBCZYZg61557iq2A9,"latin, reggaeton, urbano latino",1,1
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"dance, edm, electronic",1,1
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,"east coast hip hop, hip hop, neo soul, pop, r&b, rap, soft pop, southern hip hop",1,1
Fridayy,7sP4SQ0WY6jfps1I19Ot7i,"east coast hip hop, hip hop, neo soul, pop, r&b, rap, soft pop, southern hip hop",2,2
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"afrobeat, afrobeats, afropiano, afropop, pop, r&b, traditional music",2,1
Quavo,0VRj0yCOv2FXJNP47XQnx5,,2,2
Takeoff,3EW0kQ1skZiK1NHg3Spt9J,"hip hop, rap",3,3
Mc Paiva ZS,0gHj4MPwwcZ8Zl9CY0hqT5,"brazilian funk, brazilian trap, electronic, funk, funk carioca, funk consciente, hip hop, latin, r&b, trap funk",1,1
MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY,"axé, brazilian funk, brazilian trap, brega funk, electronic, funk, funk carioca, funk consciente, hip hop, latin, pagode baiano, pop, r&b, trap funk",2,2
Kotim,210Sy1oGhvPu929TKoSVcN,"brazilian funk, brazilian trap, electronic, funk, funk carioca, funk consciente, hip hop, latin, r&b, trap funk",1,1
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,"indie, pop, psychedelic pop, rock",1,1
Tame Impala,5INjqkS1o8h1imAzPqGZBb,"indie, pop, psychedelic pop, rock",1,1
Bootie Brown,6GI3CJjT2bOnMfprCpjT1d,"indie, pop, psychedelic pop, rock",1,1
Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,,2,0
Balming Tiger,6vbKIm1WsvhMMDpthYONc1,"hip hop, k-pop, k-rap, pop",1,1
Omega Sapien,46KQM3HJyONaKRTbcfNPlU,"hip hop, k-pop, k-rap, pop",1,1
bj wnjn,4E4TZnDHlrhclSJgeund1d,"hip hop, k-pop, k-rap, pop",1,1
Mudd the student,4xHlg3Tcv7TZZzFq0aW2hQ,"hip hop, k-pop, k-rap, pop",1,1
RM,2auC28zjQyVTsiZKNgPRGs,"hip hop, k-pop, k-rap, k-rock, pop, rock",12,2
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"bachata, bachata pop, latin, pop",1,1
Juanes,0UWZUmn7sybxMCqrw9tGa7,"colombian pop, latin pop, pop, rock en español",1,1
The 1975,3mIj9lX2MWuHmhNCA7LSCW,,2,0
Eliza Rose,4XC335ouK6pXyq4QiIb8bP,"breakbeat, electronic, house, uk garage",1,1
Interplanetary Criminal,6uJ51uV5rYzu1MJkC4CceI,"breakbeat, electronic, house, uk garage",1,1
d4vd,5y8tKLUfMvliMe8IKamR32,,2,0
Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,"j-pop, pop",1,0
Oxlade,3WTrdbZU99dgTtt3ZkyamT,"afro soul, afrobeat, afrobeats, afropiano, afropop, afroswing, alté, pop, r&b, traditional music",1,0
Keane,53A0W3U0s8diEn9RhXQhVz,,1,0
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"country, red dirt",1,0
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,"edm, electronic",1,1
Dxrk ダーク,5TvFfw1MgSntdU9A7yncyA,"drift phonk, electronic, hip hop, phonk",1,0
PnB Rock,21WS9wngs9AqFckK7yYJPM,"hip hop, melodic rap",1,0
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,"latin, reggaeton, urbano latino",1,1
Montell Fish,5nvWOyAkfNgVLKESq4fOj2,,1,0
Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,"bedroom pop, pop",1,0
Earth Wind & Fire,4QQgXkCYTt3BlENzhyNETg,"disco, r&b",1,0
