Artist,Genres,num_hits,num_collab_hits
Joaquin Medina,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, reggaeton mexa, sad sierreño, sierreño",1,1
Tito Double P,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, dembow, electro corridos, grupera, latin, música mexicana, norteño, sad sierreño, sierreño, tejano",14,11
Grupo Menos É Mais,"arrocha, country, forró, latin, pagode, piseiro, samba, sertanejo, sertanejo universitário",3,1
Matheus Fernandes,"arrocha, country, forró, latin, pagode, piseiro, samba, sertanejo, sertanejo universitário",1,1
Travis Scott,"afro adura, afrobeat, afrobeats, afropiano, afropop, afroswing, amapiano, electronic, hip hop, melodic rap, pop, r&b, rage rap, rap, southern hip hop, traditional music, trap",20,12
Tears For Fears,"new wave, pop, rock, synthpop",1,0
Bruno Mars,"art pop, k-pop, pop",12,4
Metro Boomin,"afrobeat, afrobeats, afropiano, afropop, afroswing, dancehall, drill, hip hop, melodic rap, new jack swing, pop, r&b, rage rap, rap, southern hip hop, traditional music, trap, west coast hip hop",38,38
Sabrina Carpenter,,18,0
Natanael Cano,"argentine trap, banda, corrido, corridos bélicos, corridos tumbados, electro corridos, hip hop, latin, latin pop, música mexicana, pop, sad sierreño, sierreño, trap latino, urbano latino",15,13
Eminem,"country, country hip hop, emo rap, hip hop, melodic rap, pinoy hip hop, pinoy r&b, r&b, rap",28,14
Arijit Singh,"bangla pop, bhajan, bollywood, desi, devotional, gujarati garba, gujarati pop, hindi pop, hip hop, jazz, new age, pop, sufi, traditional music",2,2
Shreyas Puranik,"bangla pop, bhajan, bollywood, desi, devotional, gujarati garba, gujarati pop, hindi pop, hip hop, jazz, new age, pop, sufi, traditional music",1,1
Siddharth - Garima,"bangla pop, bhajan, bollywood, desi, devotional, gujarati garba, gujarati pop, hindi pop, hip hop, jazz, new age, pop, sufi, traditional music",1,1
Cigarettes After Sex,"dream pop, pop",3,0
Yng Lvcas,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, reggaeton, reggaeton mexa, sad sierreño",1,1
Kanye West,"drill, hip hop, neo soul, r&b, rage rap, rap, smooth r&b, trap",45,43
Lewis Capaldi,"pop, soft pop",1,0
Peggy Gou,,1,0
Tony Aguirre,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",1,1
Don Omar,"latin, reggaeton, urbano latino",1,1
Lucenzo,"latin, reggaeton, urbano latino",1,1
Eugenio Esquivel,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, sad sierreño, sierreño",1,1
Sebastian Esquivel,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, sad sierreño, sierreño",1,1
Los Esquivel,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, sad sierreño, sierreño",1,1
d4vd,,4,1
Wizkid,"afro adura, afrobeat, afrobeats, afropiano, afropop, afroswing, amapiano, azonto, dancehall, electronic, hip hop, pop, r&b, rap, traditional music",4,3
