artist_name,artist_id,image_url
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,https://i.scdn.co/image/ab6761610000e5eb8ffb1b02e4435c5176b28ed2
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c
Zion & Lennox,21451j1KhjAiaYKflxBjr1,https://i.scdn.co/image/ab6761610000e5ebfa844599a8631cca451a93e5
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,https://i.scdn.co/image/ab6761610000e5eb7619ca2683b434e139040f70
Alok,0NGAZxHanS9e0iNHpR8f2W,https://i.scdn.co/image/ab6761610000e5ebf7d1bdca65e1cefd4e60c379
Bruno Martini,5veVxxPm1vzgi6pO2iVA8L,https://i.scdn.co/image/ab6761610000e5eb3d9bd1ac9d00c9f45263ad25
Zeeba,7qPLO2XOUaRrRxkvLZ3AEK,https://i.scdn.co/image/ab6761610000e5ebab0d4228f1c3f40790bf32fa
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,https://i.scdn.co/image/ab6761610000e5eb869ddcc058c5ff2a459ad8d5
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
Cheat Codes,7DMveApC7UnC2NPfPvlHSU,https://i.scdn.co/image/ab6761610000e5ebcb85c5aad19e9ccdac03aab4
Big Sean,0c173mlxpT3dSFRgMO8XPh,https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff
DNCE,6T5tfhQCknKG4UnH90qGnz,https://i.scdn.co/image/ab6761610000e5ebf516ed43c65fe21e21a7c5bd
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,https://i.scdn.co/image/ab6761610000e5ebd5976263fc4cfc15b6627f7b
JP Cooper,4kYGAK2zu9EAomwj3hXkXy,https://i.scdn.co/image/ab6761610000e5ebdaa277bb453ad8863ca5e519
Desiigner,7pFeBzX627ff0VnN6bxPR4,https://i.scdn.co/image/ab6761610000e5eb7142aa94e6774b71d88eb3bd
NEIKED,5H6xmHXjsq98NLbEjuE29f,https://i.scdn.co/image/ab6761610000e5eba4bf6df5107fe7b721066b97
Dyo,4H1PNuHElBLVok0lnYMrRb,https://i.scdn.co/image/ab6761610000e5eb67cb5f000aae59377fcb5cf8
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,https://i.scdn.co/image/ab6761610000e5eb99a6ccc4aae5ae5404c9eb30
Nyla,4VZY0nxYMSNotbS7WjNVQy,https://i.scdn.co/image/4533db9f5db75bf8dd362b995876418a89121fa0
Fuse ODG,374sWpAJsbZckf98df2jJJ,https://i.scdn.co/image/ab6761610000e5eb0c2cd15f0c268c23ec6a20fd
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,https://i.scdn.co/image/ab6761610000e5eb0b9d2cce6f096d2d19f2ee23
21 Savage,1URnnhqYAYcrqrcwql10ft,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c
Future,1RyvyyTE3xzB2ZywiAwp0i,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
Adele,4dpARuHxo51G3z768sgnrY,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17
Zay Hilfigerrr,7nKeLE1toRtW4M279iS26h,https://i.scdn.co/image/ab6761610000e5ebf7550f0fd384a38a3c9a6200
Zayion McCall,5AsWcQXw4RJFRWBbwa0ti0,https://i.scdn.co/image/ab6761610000e5eb45b60ca950d67ba4c281155d
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,https://i.scdn.co/image/ab6761610000e5eb4fa1405802a42c665b0f2dd1
Wisin,3E6xrwgnVfYCrCs0ePERDz,https://i.scdn.co/image/ab6761610000e5eb5f4755c4dc0e19ab445aaa62
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
gnash,3iri9nBFs9e4wN7PLIetAw,https://i.scdn.co/image/ab6761610000e5eb78e3e309ea0bf5dfb2192469
Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,https://i.scdn.co/image/ab6761610000e5ebdedc07bc2d6f72f0041a8c1c
Lil Wayne,55Aa2cqylxrFIXC767Z865,https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,https://i.scdn.co/image/ab6761610000e5ebc66b0a8c3268f0b6556f64a8
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
X Ambassadors,3NPpFNZtSTHheNBaWC82rB,https://i.scdn.co/image/ab6761610000e5ebfe04e938adb7de2920713b91
Logic,4xRYI6VqpkE3UwrDrAZL8L,https://i.scdn.co/image/ab6761610000e5eb94678f7d5353a9b680f60d23
Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,https://i.scdn.co/image/ab6761610000e5ebbb66aefa6eee7185729d6921
Rob $tone,2hWs22BmQkK4czFtDLnar2,https://i.scdn.co/image/ab6761610000e5ebe38135c98ef2ad510391c684
J. Davi$,1rs3y69kDwkIdGJcOYngQt,https://i.scdn.co/image/ab6761610000e5eba7a6a22d18bc63ae77e49271
J Spooks,36Tn5h23ysORlLKc42UXfe,https://i.scdn.co/image/ab6761610000e5ebf69a67129f090e2f3de12e0c
MC G15,3Nipsl6GVwwGyeAk0J29C6,https://i.scdn.co/image/ab6761610000e5eb1e5e8ecf7f0a1e2d34f53486
Mike Perry,6lB8vOoI4DRrrVxXwuV19c,https://i.scdn.co/image/ab6761610000e5eb4ca7ccebc2f9e6c281cd6ff3
shy martin,7eCmccnRwPmRnWPw61x6jM,https://i.scdn.co/image/ab6761610000e5eb7255fc5bbdd065606dddec62
Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,https://i.scdn.co/image/ab6761610000e5eb2e1c186b5007594109f43e2c
XYLØ,6ioOEWNNGK40H8xrGj6XPW,https://i.scdn.co/image/ab6761610000e5ebbde9bcb11abd1c2c3bcf16d7
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,https://i.scdn.co/image/ab6761610000e5eb1461108c3a182fcf77ee6ea3
Kungs,7keGfmQR4X5w0two1xKZ7d,https://i.scdn.co/image/ab6761610000e5eb3b0676d8b5ef3e99ceb0194e
Cookin' On 3 Burners,726MxZBpkxnnoKl6aN7mmj,https://i.scdn.co/image/ab6761610000e5eba94773629ec7f6f7281c3062
Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,https://i.scdn.co/image/ab6761610000e5eba8d380fa0ca95e0908e7616e
Cashmere Cat,2LZDXcxJWgsJfKXZv9a5eG,https://i.scdn.co/image/ab6761610000e5ebed91e9bebd673752510f4bae
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,https://i.scdn.co/image/ab6761610000e5ebbd5d3e1b363c3e26710661c3
Noah Cyrus,55fhWPvDiMpLnE4ZzNXZyW,https://i.scdn.co/image/ab6761610000e5ebb27124cea846fa1154cc58e1
Labrinth,2feDdbD5araYcm6JhFHHw7,https://i.scdn.co/image/ab6761610000e5eb7885d725841e0338092f5f6f
Luke Christopher,787bCXOIvGeBw0Bc4kEjhD,https://i.scdn.co/image/ab6761610000e5eb20757625b9abff83ff6cc835
Dakota,2zzpznMuhKlKlqh1ma7Sms,https://i.scdn.co/image/ab6761610000e5eba06bc9a0aa935ce50f31deb2
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,https://i.scdn.co/image/ab6761610000e5ebe8717f034edfa96049ece459
2 Chainz,17lzZA2AlOHwCwFALHttmp,https://i.scdn.co/image/ab6761610000e5ebf556662d187b9191c421be1c
Little Mix,3e7awlrlDSwF3iM0WBjGMp,https://i.scdn.co/image/ab6761610000e5eb08cd53940cbf5813ee5fe565
Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,https://i.scdn.co/image/ab6761610000e5ebddb7e5b029a90a3a86161090
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04
G-Eazy,02kJSzxNuaWGqwubyUba0Z,https://i.scdn.co/image/ab6761610000e5eb60faff29eca3df2de27aff99
FRENSHIP,7xEFii6utZmQ61kX59HmLH,https://i.scdn.co/image/ab6761610000e5ebf1aedb0338b4298d05280079
Emily Warren,1oKdM70mJD8VvDOTKeS8t1,https://i.scdn.co/image/ab6761610000e5ebd32e900c1a10957e955aac0f
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd
IAmChino,0b2GL7Y02vu50qieoQmw1w,https://i.scdn.co/image/ab6761610000e5ebbce551f814367237a87f7a8a
Pitbull,0TnOYISbd1XYRBk9myaseg,https://i.scdn.co/image/ab6761610000e5eb4051627b19277613e0e62a34
